,algorithm,dimension,type,distances,proportions,score,avg_score,iterations
0,Gonzalez,2,0,1.0,,43925.21683434561,17.57008673373825,14.33
1,kmeans++,2,0,1.0,,43192.89169584026,17.27715667833611,13.1
2,Gonzalez,2,0,2.0,,43020.579157795815,17.208231663118315,12.5
3,kmeans++,2,0,2.0,,43747.346610253146,17.49893864410126,13.11
4,Gonzalez,2,0,2.5,,43402.745290621504,17.361098116248595,13.64
5,kmeans++,2,0,2.5,,43764.61775097933,17.50584710039172,11.56
6,Gonzalez,2,0,3.0,,42580.79038404587,17.03231615361835,13.25
7,kmeans++,2,0,3.0,,43217.64501554042,17.28705800621617,13.86
8,Gonzalez,2,0,3.5,,43663.90711833098,17.46556284733239,12.71
9,kmeans++,2,0,3.5,,43103.65655748851,17.2414626229954,11.72
10,Gonzalez,2,0,4.0,,43933.022872986665,17.573209149194664,12.84
11,kmeans++,2,0,4.0,,43263.779870649676,17.305511948259877,14.19
12,Gonzalez,2,0,5.0,,43322.27480201121,17.32890992080449,12.49
13,kmeans++,2,0,5.0,,43180.7124926274,17.272284997050956,12.49
14,Gonzalez,2,1,,5,24851.505776798902,9.94060231071956,10.9
15,kmeans++,2,1,,5,23379.313493727437,9.351725397490975,11.6
16,Gonzalez,2,1,,10,31827.85823422438,12.731143293689751,11.19
17,kmeans++,2,1,,10,30613.96619891803,12.245586479567216,12.29
18,Gonzalez,2,1,,25,49255.5519269021,19.702220770760846,13.25
19,kmeans++,2,1,,25,48365.27944208985,19.34611177683593,13.91
20,Gonzalez,2,1,,50,69336.87822237429,27.734751288949713,16.96
21,kmeans++,2,1,,50,69543.6711041627,27.8174684416651,19.8
22,Gonzalez,2,1,,75,80397.59976117793,32.15903990447118,19.07
23,kmeans++,2,1,,75,80595.553481632,32.2382213926528,22.57
24,Gonzalez,2,1,,90,77824.05747866599,31.129622991466373,21.06
25,kmeans++,2,1,,90,78230.99847764803,31.292399391059217,22.0
26,Gonzalez,2,1,,95,74401.35040246171,29.760540160984682,21.99
27,kmeans++,2,1,,95,74598.55279303403,29.839421117213632,23.33
28,Gonzalez,3,0,1.0,,277384.321997597,110.95372879903881,13.76
29,kmeans++,3,0,1.0,,265211.0639191752,106.08442556767004,12.81
30,Gonzalez,3,0,2.0,,285085.5282234496,114.03421128937978,15.73
31,kmeans++,3,0,2.0,,267921.7103353888,107.16868413415547,13.05
32,Gonzalez,3,0,2.5,,279535.10093590344,111.81404037436127,14.11
33,kmeans++,3,0,2.5,,269030.81723357295,107.61232689342914,12.29
34,Gonzalez,3,0,3.0,,282361.6856737711,112.94467426950851,15.04
35,kmeans++,3,0,3.0,,271320.3783437122,108.52815133748494,12.18
36,Gonzalez,3,0,3.5,,281420.21202869614,112.56808481147857,15.25
37,kmeans++,3,0,3.5,,275840.3188367497,110.3361275346999,12.82
38,Gonzalez,3,0,4.0,,285582.45423945563,114.23298169578229,15.94
39,kmeans++,3,0,4.0,,264137.57238533633,105.65502895413461,12.32
40,Gonzalez,3,0,5.0,,277228.07325729984,110.89122930291997,15.4
41,kmeans++,3,0,5.0,,268171.5692563757,107.26862770255029,12.06
42,Gonzalez,3,1,,5,169378.6128800417,67.75144515201673,11.15
43,kmeans++,3,1,,5,136869.03932815298,54.74761573126124,9.42
44,Gonzalez,3,1,,10,208064.0996465473,83.22563985861892,11.35
45,kmeans++,3,1,,10,188129.10848686195,75.25164339474476,11.49
46,Gonzalez,3,1,,25,309655.3482725285,123.86213930901138,16.84
47,kmeans++,3,1,,25,305670.7746644151,122.26830986576603,14.45
48,Gonzalez,3,1,,50,469599.9552577723,187.83998210310892,22.28
49,kmeans++,3,1,,50,466963.24182745465,186.7852967309817,19.98
50,Gonzalez,3,1,,75,585688.0351476839,234.2752140590737,26.63
51,kmeans++,3,1,,75,584908.2899272288,233.96331597089141,32.63
52,Gonzalez,3,1,,90,625711.1700646818,250.28446802587285,32.75
53,kmeans++,3,1,,90,625538.7450912142,250.2154980364856,29.08
54,Gonzalez,3,1,,95,623820.8028097106,249.52832112388415,36.02
55,kmeans++,3,1,,95,624075.845825205,249.63033833008194,30.48
